GEN,BEZ,Coronavirus Infektionen / Coronavirus Cases,Main Source / Hauptquelle,Crowdsourced Infektionen,Genesen,Quarantine,Nothilfe (Stationär/Intensiv),Todesfälle,"Zeit (Datum, Uhrzeit) (Man kann =JETZT() oder =NOW() benutzen",Unnamed: 10,Contributor,Crowdsourced Infektionen.1,Zeit,Main Source / Hauptquelle.1,Contributor.1,Crowdsourced Infektionen.2,Zeit.1,Main Source / Hauptquelle.2,Contributor.2
Rhein-Neckar-Kreis,Landkreis,109,"https://www.rhein-neckar-kreis.de/,Lde/start/landratsamt/coronavirus+-+faq.html",124,,,,,18.03.2020,"https://www.rhein-neckar-kreis.de/,Lde/start/landratsamt/coronavirus+-+faq.html",,,,,,,,,
Rhein-Pfalz-Kreis,Landkreis,3,https://www.rhein-pfalz-kreis.de/kv_rpk/Coronavirus/,5,,,,,18/03/2020 16:30,https://www.rhein-pfalz-kreis.de/kv_rpk/Coronavirus/Fallzahlen/,,,,,,,,,
Rhein-Sieg-Kreis,Kreis,111,https://www.rhein-sieg-kreis.de/corona,158,,,,,,,,,,,,,,,
Rheingau-Taunus-Kreis,Landkreis,25,https://www.rheingau-taunus.de/aktuelles/hinweise/detail/informationen-zum-coronavirus.html,25,,,,,,,,,,,,,,,
Rheinisch-Bergischer Kreis,Kreis,60,https://www.rbk-direkt.de/news/28836/52-bestaetigte-corona-faelle-im-rheinisch-bergischen-kreis-,69,,,,,,,,,,,,,,,
Rhön-Grabfeld,Landkreis,3,https://www.rhoen-grabfeld.de/internet/index.php?page=15492&,3,,,,,,,,,,,,,,,
Rosenheim,Kreisfreie Stadt,1,https://rosenheim.de/aktuell-rathaus/stadt-und-landkreis-rosenheim-aktuelle-informationen-zum-corona-virus.html,98,,,,,,,,,,,,,,,
Rosenheim,Landkreis,47,https://www.landkreis-rosenheim.de/#{2},77,,,,,,https://www.landkreis-rosenheim.de/Default.asp?rq_AppGuid=D53E3617FFC7C16729E9ABD3CE049BFAE5B2C888&rq_TargetPageGuid=868C21C44B5C21E6A7E5D94015AA8043B75FFA61&rq_RecId=33363736&rq_MenuGuid=81E6AF0753F9AC2FE91C86253937F9D94C472C26&rq_TemplateKey=73746167655F6170706D61696E&rq_Lang=de,,,,,,,,,
Rostock,Kreisfreie Stadt,16,https://www.rostock.de/pandemie,16,,,,,,,,,,,,,,,
Rostock,Landkreis,13,https://www.landkreis-rostock.de/landkreis/aktuelles/news/2020/maerz/coronavirus-2.html,13,,,,,,,,,,,,,,,
Rotenburg (Wümme),Landkreis,18,https://www.lk-row.de/portal/seiten/coronavirus-sars-cov-2--900000145-23700.html?rubrik=1007,18,,,,,,,,,,,,,,,
Roth,Landkreis,5,https://www.landratsamt-roth.de/,5,,,,,,,,,,,,,,,
Rottal-Inn,Landkreis,30,https://www.rottal-inn.de/buergerservice-formulare/gesundheitsamt/coronavirus-aktuelle-informationen/,36,,,,,18/03/2020 12:00,,,,,,,,,,
Rottweil,Landkreis,5,https://www.schwarzwaelder-bote.de/inhalt.kreis-rottweil-erster-corona-todesfall-im-landkreis.9d46442f-7609-4908-b4e8-19c21d3c9cd0.html,5,,,,,,,,,,,,,,,
Saale-Holzland-Kreis,Landkreis,4,https://www.saaleholzlandkreis.de/index.php?id=2759,5,,,5.0,0.0,18.03.2020 13:30,https://www.saaleholzlandkreis.de/index.php?id=2759,@TMartini_1982,,,,,,,,
Saale-Orla-Kreis,Landkreis,3,https://www.saale-orla-kreis.de/sok/,3,,,,,,,,,,,,,,,
Saalekreis,Landkreis,3,https://www.saalekreis.de/de/aktuelles-publikationen/coronavirus.html,3,,,,,,,,,,,,,,,
Saalfeld-Rudolstadt,Landkreis,5,http://www.kreis-slf.de/landratsamt/nachrichtenansicht/archive/2020/m%C3%A4rz/13/article/fuenf-bestaetigte-corona-faelle-im-landkreis/,5,,,,,,,,,,,,,,,
Saarlouis,Landkreis,24,https://www.kreis-saarlouis.de/Aktuelles/Corona-Ticker-Aktuelle-Lage.html?,26,,,,,,https://www.saarland.de/SID-9933E942-F677190A/59841_254585.htm,,,,,,,,,
Saarpfalz-Kreis,Landkreis,17,https://www.saarpfalz-kreis.de/images/Gesundheitsamt/2020/Medieninfo_MfSGFF_163_Saarlndisches_Gesundheitsministerium_besttigt_weitere_elf_Erkrankungen_am_Coronavirus.pdf,28,,,,,,https://www.saarland.de/SID-9933E942-F677190A/59841_254585.htm,,,,,,,,,
Sächsische Schweiz-Osterzgebirge,Landkreis,14,https://www.landratsamt-pirna.de/50282.htm,19,,,,,18/03/2020 16:30,https://www.sms.sachsen.de/coronavirus.html,,,,,,,,,
Salzgitter,Kreisfreie Stadt,3,https://www.salzgitter.de/,3,,,,,,,,,,,,,,,
Salzlandkreis,Landkreis,8,https://www.salzlandkreis.de/verwaltung/fachdienste-plattform/34-gesundheit/corona-virus/,8,,,,,,,,,,,,,,,
Schaumburg,Landkreis,5,https://www.sn-online.de/Schaumburg/Landkreis/Aus-dem-Landkreis/Urlaubsrueckkehrer-Fuenfter-Corona-Fall-im-Landkreis-Schaumburg,5,,,,,,,,,,,,,,,
Schleswig-Flensburg,Kreis,17,"https://www.schleswig-flensburg.de/Leben-Soziales/Gesundheit/Coronavirus/Corona-Virus-Aktuelle-Informationen-des-Kreises-Schleswig-Flensburg.php?object=tx,2120.1&ModID=7&FID=2475.1421.1&NavID=2120.752&La=1",21,,,,,,,,,,,,,,,
Schmalkalden-Meiningen,Landkreis,3,https://www.lra-sm.de/?p=22632,3,,,,,,,,,,,,,,,
Schwabach,Kreisfreie Stadt,5,https://www.schwabach.de/de/,5,,,,,,,,,,,,,,,
Schwäbisch Hall,Landkreis,48,https://www.lrasha.de/index.php?id=953?&no_cache=1&publish[id]=1107342&publish[start]=,62,,,,,18/03/2020 18:50,https://www.lrasha.de/index.php?id=953?&no_cache=1&publish[id]=1107342&publish[start]=,@schweabe90,,,,,,,,
Schwalm-Eder-Kreis,Landkreis,34,https://www.schwalm-eder-kreis.de/Aktuelles/Aktuelle-Informationen-zum-neuartigen-Coronavirus-Covid-19/Aktuelle-Zahlen-Schwalm-Eder.htm?,54,,,,,,,,,,,,,,,
Schwandorf,Landkreis,15,https://www.landkreis-schwandorf.de/index.php?object=tx%7C1901.64&ModID=255&FID=1901.15309.1&&mNavID=1.100&La=1,15,,,,,,,,,,,,,,,
Schwarzwald-Baar-Kreis,Landkreis,27,"https://www.lrasbk.de/Aktuelles/Neuigkeiten/index.php?object=tx,2961.13137.1&NavID=2961.1467.1",29,,,29.0,,18.03.2020,"https://www.lrasbk.de/Aktuelles/Neuigkeiten/index.php?object=tx,2961.13152.1&NavID=2961.1467&La=1",@TMartini_1982,,,,,,,,
Schweinfurt,Kreisfreie Stadt,8,https://www.landkreis-schweinfurt.de/aktuelles/presseportal/details/?tx_news_pi1%5Bnews%5D=928&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=5c35f784323e1ad42f938cb9e60a949c,27,,,,,,,,,,,,,,,
Schweinfurt,Landkreis,16,https://www.landkreis-schweinfurt.de/aktuelles/presseportal/details/?tx_news_pi1%5Bnews%5D=928&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=5c35f784323e1ad42f938cb9e60a949c,27,,,,,,,,,,,,,,,
Schwerin,Kreisfreie Stadt,7,https://www.schwerin.de/politik-verwaltung/stadtverwaltung/pressestelle/pressemitteilungen/,7,,,,,,,,,,,,,,,
Segeberg,Kreis,14,https://www.segeberg.de/coronavirus,14,,,,,,,,,,,,,,,
Siegen-Wittgenstein,Kreis,26,"https://www.siegen-wittgenstein.de/Kreisverwaltung/Aktuelles/Aktuelle-Meldungen/5-neue-Coronaf%C3%A4lle-in-Siegen-Wittgenstein-Kreisverwaltung-bleibt-ab-Dienstag-17-M%C3%A4rz-geschlossen.php?object=tx,2170.14.1&ModID=7&FID=2170.2482.1&NavID=2170.58&La=1&call=suche",29,,,,,18/03/2020 19:55,,,,,,,,,,
Sigmaringen,Landkreis,37,https://www.landkreis-sigmaringen.de/de/Aktuell/Aktuelle-Meldungen/Aktuelle-Meldung?view=publish&item=article&id=2256,48,,,,,18/03/2020 19:56,,,,,,,,,,
Soest,Kreis,35,https://www.kreis-soest.de/gesundheit_verbraucher/gesundheit/infektionsschutz/corona/Corona.php,49,,,,,18/03/2020 19:57,,,,,,,,,,
Solingen,Kreisfreie Stadt,32,https://www.solingen.de/de/inhalt/coronavirus/,33,,,,,18/03/2020 19:58,,,,,,,,,,
Sömmerda,Landkreis,0,https://www.lra-soemmerda.de/,0,,,,,,,,,,,,,,,
Sonneberg,Landkreis,0,https://www.kreis-sonneberg.de/,0,,,,,,,,,,,,,,,
Speyer,Kreisfreie Stadt,4,https://www.speyer.de/sv_speyer/de/Rathaus/Medien-Infos/Aktuelle%20Infos/Aktuelle%20Informationen%20zum%20Coronavirus/,4,,,,,,,,,,,,,,,
Spree-Neiße,Landkreis,13,https://www.lkspn.de/aktuelles/aktuelles-landkreis-spree-neisse/informationen_coronavirus.html,19,,,,,18/03/2020 13:00,,,,,,,,,,
St. Wendel,Landkreis,17,https://www.landkreis-st-wendel.de/der-landkreis/landratsamt/aktuelle-meldungen/,22,,,,,18/03/2020 20:00,,,,,,,,,,
Stade,Landkreis,28,https://www.landkreis-stade.de/portal/meldungen/coronavirus-aktuelle-lage-informationen-und-hinweise-des-gesundheitsamtes-landkreis-stade-901004416-20350.html?rubrik=901000006,33,,,,,18/03/2020 08:00,,,,,,,,,,
Städteregion Aachen,Kreis,211,http://www.aachen.de/DE/stadt_buerger/notfall_informationen/corona/aktuelles/index.html,273,,,,4.0,18/03/2020 13:45,http://www.aachen.de/DE/stadt_buerger/notfall_informationen/corona/aktuelles/index.html,@_MitschiBoy_,,,,,,,,
Starnberg,Landkreis,50,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,50,,,,,,,,,,,,,,,
Steinburg,Kreis,4,https://www.steinburg.de/startseite/presse-aktuelles/meldungen/details/tx_news/allgemeine-informationen-und-verhaltensregeln-zum-coronavirus.html,4,,,,,,,,,,,,,,,
Steinfurt,Kreis,95,https://www.kreis-steinfurt.de/kv_steinfurt/Aktuelles/Slider/Informationen%20Coronavirus/,124,,,,,18/03/2020 08:30,https://www.kreis-steinfurt.de/kv_steinfurt/Aktuelles/Slider/Informationen%20Coronavirus/,@_MitschiBoy_,,,,,,,,
Stendal,Landkreis,8,https://www.landkreis-stendal.de/,8,,,,,,,,,,,,,,,
Stormarn,Kreis,8,https://www.kreis-stormarn.de/aktuelles/pressemeldungen/2020/zahl-der-corona-faelle-im-kreis-stormarn.html,17,1.0,,,,18/03/2020 15:00,https://www.kreis-stormarn.de/aktuelles/pressemeldungen/2020/zahl-der-bestaetigten-corona-faelle-steigt-weiter.html,,,,,,,,,
Straubing,Kreisfreie Stadt,8,http://www.straubing.de/de/buerger-und-soziales/aktuelles/2020/info_corona_virus.php,14,,,,,18/03/2020 20:07,,,,,,,,,,
Straubing-Bogen,Landkreis,4,https://www.landkreis-straubing-bogen.de/buergerservice/aktuelles-pressemitteilungen/corona/,13,,,,,18/03/2020 17:30,,,,,,,,,,
Stuttgart,Stadtkreis,284,https://www.stuttgart.de/item/show/273273/1/9/689988?plist=homepage,324,,,,,18/03/2020 18:00,,,,,,,,,,
Südliche Weinstraße,Landkreis,19,https://www.suedliche-weinstrasse.de/de/aktuelles/pressemeldungen/2020_066.php,22,,,,,18/03/2020 16:30,https://msagd.rlp.de/de/unsere-themen/gesundheit-und-pflege/gesundheitliche-versorgung/oeffentlicher-gesundheitsdienst-hygiene-und-infektionsschutz/infektionsschutz/informationen-zum-coronavirus-sars-cov-2/,,,,,,,,,
Südwestpfalz,Landkreis,3,https://www.lksuedwestpfalz.de/aktuelles/nachrichten/2020/maerz/coronavirus-erster-positiver-fall/,3,,,,,,,,,,,,,,,
Suhl,Kreisfreie Stadt,1,https://www.suhltrifft.de/content/blogsection/41/2246/,1,,,,,,,,,,,,,,,
Teltow-Fläming,Landkreis,10,http://www.teltow-flaeming.de/de/service/gesundheit/corona-virus-dossier.php,11,,,,,18/03/2020 20:15,,,,,,,,,,
Tirschenreuth,Landkreis,40,https://www.kreis-tir.de/buergerservice/aktuelles/news/news/detail/News/20-weitere-faelle-im-landkreis-tirschenreuth-3-weitere-praxen-betroffen-eingeschraenkter-dienstbetri/,47,,,,,18/04/2020 14:00,https://www.kreis-tir.de/buergerservice/aktuelles/news/news/detail/News/ausgangssperre-fuer-die-stadt-mitteteich-47-bestaetigte-faelle-im-landkreis-davon-25-in-der-stadt-mit/,,,,,,,,,
Traunstein,Landkreis,10,https://www.traunstein.com/aktuelles/meldungen/aktuelle-informationen-zum-corona-virus-im-lk-ts-drei-neue-bestaetigte-faelle,10,,,,,,,,,,,,,,,
Trier,Kreisfreie Stadt,10,https://www.trier-saarburg.de/,25,,,,,,https://www.trier.de/rathaus-buerger-in/aktuelles/trier.de-news/coronavirus/,,,,,,,,,
Trier-Saarburg,Landkreis,12,https://www.trier-saarburg.de/,15,,,,,18/03/2020 20:00,https://www.trier-saarburg.de/news/Corona-PM3,,,,,,,,,
Tübingen,Landkreis,101,https://www.tuebingen.de/corona,113,,,,,18/03/2020 16:08,https://www.kreis-tuebingen.de/Startseite.html,,https://www.tagblatt.de/Nachrichten/Coronavirus-Wie-die-Krise-regionale-Gastronomie-und-Handel-trifft-451294.html,,,,,,,
Tuttlingen,Landkreis,7,"https://www.schwaebische.de/landkreis/landkreis-tuttlingen/tuttlingen_artikel,-weiterer-corona-fall-im-landkreis-tuttlingen-_arid,11201241.html",7,,,,,,,,,,,,,,,
Uckermark,Landkreis,0,"https://www.uckermark.de/index.phtml?La=1&mNavID=1897.1&object=tx,2203.462.1&kat=&kuo=2&sub=0",1,,,,,17.03.2020,https://www.uckermark.de/PDF/Erste_best%C3%A4tigte_F%C3%A4lle_einer_Covi1.PDF?ObjSvrID=2203&ObjID=3437&ObjLa=1&Ext=PDF&WTR=1&_ts=1584516990,,,,,,,,,
Uelzen,Landkreis,1,https://www.landkreis-uelzen.de/home/soziales-familie-und-gesundheit/gesundheit/corona-virus.aspx,1,,,,,,,,,,,,,,,
Ulm,Stadtkreis,19,https://www.alb-donau-kreis.de/alb-donau-kreis/startseite/dienstleistungen+service/coronavirus.html,33,,,,,18/03/2020 16:50,,,,,,,,,,
Unna,Kreis,25,https://www.kreis-unna.de/nachrichten/n/update-coronavirus-1/,51,,,,,18/03/2020 16:35,,,,,,,,,,
Unstrut-Hainich-Kreis,Landkreis,2,https://www.unstrut-hainich-kreis.de/,2,,,,,,,,,,,,,,,
Unterallgäu,Landkreis,18,https://www.landratsamt-unterallgaeu.de/aktuelles/pressemitteilungen.html,19,,,,,17/03/2020 12:00,https://www.landratsamt-unterallgaeu.de/aktuelles/pressemitteilungen/pressemitteilung-detail-ansicht/news/detail/news/corona:-so-schuetzen-sie-sich-und-ihre-mitmenschen.html,@_MitschiBoy_,,,,,,,,
Vechta,Landkreis,6,https://www.landkreis-vechta.de/nc/service/aktuelles/pressemitteilungen/einzelansicht/news/inzwischen-sechs-covid-19-infektionen-im-landkreis-vechta.html,16,,,,,17/03/2020,https://www.landkreis-vechta.de/service/aktuelles/pressemitteilungen.html,,,,,,,,,
Verden,Landkreis,14,https://www.landkreis-verden.de/portal/seiten/aktuelles-zum-coronavirus-geschehen-im-landkreis-verden-901001573-20600.html?rubrik=901000034,20,,,,,18/03/2020 14:00,,,,,,,,,,
Viersen,Kreis,46,https://www.kreis-viersen.de/,58,1.0,,,,18/03/2020 12:20,https://www.kreis-viersen.de/,@JamesEDaniell,,,,,,,,
Vogelsbergkreis,Landkreis,4,https://www.vogelsbergkreis.de/kreisverwaltung/presse/ansicht.html?tx_ttnews%5Btt_news%5D=8565&cHash=356a8df8b497242be96eb2f519321ea3,9,,,,,18/03/2020 14:00,https://soziales.hessen.de/gesundheit/infektionsschutz/coronavirus-sars-cov-2/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen,@_MitschiBoy_,,,,,,,,
Vogtlandkreis,Landkreis,2,https://www.vogtlandkreis.de/B%C3%BCrgerservice-und-Verwaltung/Infos-und-Services/Pressemitteilungen,3,,,,,18/03/2020 16:30,https://www.sms.sachsen.de/coronavirus.html,,,,,,,,,
Vorpommern-Greifswald,Landkreis,9,"https://www.kreis-vg.de/Kurzmen%C3%BC/Startseite/Aktuelles-zum-CORONA-Virus.php?object=tx,3079.5&ModID=7&FID=3079.14685.1",9,,,,,,,,,,,,,,,
Vorpommern-Rügen,Landkreis,6,https://www.lk-vr.de/,6,,,,,,,,,,,,,,,
Vulkaneifel,Landkreis,11,https://www.vulkaneifel.de/aktuelles/aktuelles-aus-rat-und-verwaltung/weitere-bestaetigte-corona-faelle-im-landkreis-vulkaneifel.html,17,,,,,18/03/2020 20:00,https://www.vulkaneifel.de/aktuelles.html,,,,,,,,,
Waldeck-Frankenberg,Landkreis,8,https://www.landkreis-waldeck-frankenberg.de/city_info/webaccessibility/index.cfm?modul_id=2&record_id=109129,18,,,,,18/03/2020 14:00,https://soziales.hessen.de/gesundheit/infektionsschutz/coronavirus-sars-cov-2/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen,@_MitschiBoy_,,,,,,,,
Waldshut,Landkreis,8,https://www.landkreis-waldshut.de/aktuelles/,17,,,,,,,,,,,,,,,
Warendorf,Kreis,84,https://www.kreis-warendorf.de/aktuelles/presseinformationen/,108,,,,,,,,,,,,,,,
Wartburgkreis,Landkreis,5,https://www.wartburgkreis.de/leben-im-wartburgkreis/gesundheit/aktuelle-informationen-zum-corona-virus,5,,,,,,,,,,,,,,,
Weiden i.d. OPf.,Kreisfreie Stadt,7,https://www.weiden.de/stadt/willkommen/aktuelles/zwei-weitere-coronafaelle-in-weiden,7,,,,,,,,,,,,,,,
Weilheim-Schongau,Landkreis,26,https://www.weilheim-schongau.de/aktuelles/aktuelle-meldungen/pressemitteilung-54-2020-vom-16032020/,26,,,,,,,,,,,,,,,
Weimar,Kreisfreie Stadt,2,https://stadt.weimar.de/nc/aktuell/,2,,,,,,,,,,,,,,,
Weimarer Land,Landkreis,1,https://www.weimarerland.de/soziales/index.html,1,,,,,,,,,,,,,,,
Weißenburg-Gunzenhausen,Landkreis,2,https://www.landkreis-wug.de/presseliveticker-corona/,5,,,,,18/03/2020 12:00,https://www.landkreis-wug.de/newsticker-corona/,@_MitschiBoy_,,,,,,,,
Werra-Meißner-Kreis,Landkreis,1,https://www.werra-meissner-kreis.de/fileadmin/01_Homepage_Kreisverwaltung/Fachbereiche_und_Einrichtungen/VL_Stab_Verwaltungsleitung_und_-steuerung/POE_Presse_und_Oeffentlichkeitsarbeit_Buergerreferent_Kultur/Presse-_und_OEffentlichkeitsarbeit/Pressemitteilungen/Pressemitteilungen_2020/03_Maerz/20.03.16_Erster_Coronafall_WMK.pdf,1,,,,,,,,,,,,,,,
Wesel,Kreis,126,https://www.kreis-wesel.de/de/presse/aktueller-stand-der-infektionsfaelle-mit-coronavirus-covid-19-im-kreis-wesel-2851183/,152,,,,,18/03/2020 12:00,https://www.kreis-wesel.de/de/presse/aktueller-stand-der-infektionsfaelle-mit-coronavirus-covid-19-im-kreis-wesel-1424873/,@_MitschiBoy_,,,,,,,,
Wesermarsch,Landkreis,0,http://www.landkreis-wesermarsch.de/verwaltung-politik/fachdienste-im-ueberblick/gesundheit/aktuelles-coronoavirus.php,4,,,,,18/03/2020 14:00,http://www.landkreis-wesermarsch.de/verwaltung-politik/fachdienste-im-ueberblick/gesundheit/aktuelles-coronoavirus.php,@_MitschiBoy_,,,,,,,,
Westerwaldkreis,Landkreis,53,https://www.westerwaldkreis.de/aktuelles-detailansicht/gesundheitsamt-informiert.html,53,,,,,,,,,,,,,,,
Wetteraukreis,Landkreis,15,https://www.wetteraukreis.de/aktuelles/corona/pressemitteilungen-corona/detail/news/gemeinsames-schreiben-der-kreisspitze-zu-corona/,15,,,,,,,,,,,,,,,
Wiesbaden,Kreisfreie Stadt,22,https://www.wiesbaden.de/leben-in-wiesbaden/gesundheit/gesundheitsfoerderung/infos-coronavirus.php,22,,,,1.0,,,,,,,,,,,
Wilhelmshaven,Kreisfreie Stadt,3,https://www.wilhelmshaven.de/,3,,,,,,,,,,,,,,,
Wittenberg,Landkreis,3,https://ms.sachsen-anhalt.de/themen/gesundheit/aktuell/coronavirus/,7,,,,,18/03/2020 18:52,https://www.landkreis-wittenberg.de/de/aktuelles/informationen-zum-coronavirus.html,,,,,,,,,
Wittmund,Landkreis,3,https://www.landkreis-wittmund.de/LebenArbeiten/Gesundheit/Infektionsschutz/Coronavirus.aspx,3,,,,,,,,,,,,,,,
Wolfenbüttel,Landkreis,1,https://www.braunschweiger-zeitung.de/wolfenbuettel/article228711753/Erster-bestaetigter-Corona-Fall-im-Landkreis-Wolfenbuettel.html,1,,,,,,,,,,,,,,,
Wolfsburg,Kreisfreie Stadt,4,https://www.wolfsburg.de/newsroom/2020/02/26/13/41/coronavirus,8,,,,,18/03/2020 9:30,https://www.wolfsburg.de/newsroom/2020/02/26/13/41/coronavirus,@_MitschiBoy_,,,,,,,,
Worms,Kreisfreie Stadt,14,https://www.worms.de/de/aktuelles/stadtnachrichten/2020-03-12-16-26-24.php#anchor_25a7a48d_Accordion-Kindergaerten-und-Kindertagesstaetten,14,,,,,,,,,,,,,,,
Wunsiedel i. Fichtelgebirge,Landkreis,14,https://www.landkreis-wunsiedel.de/buergerservice/news/2020/wichtige-informationen-zum-coronavirus-sars-cov-2,16,,,,,,,,,,,,,,,
Wuppertal,Kreisfreie Stadt,31,https://www.wuppertal.de/presse/meldungen/meldungen-2020/februar20/corona-virus-information.php,50,,241.0,,,,http://www.brd.nrw.de/bausteine/_TT/TT_Corona_Virus_Karte_F.html,,,,,,,,,
Würzburg,Kreisfreie Stadt,40,https://www.wuerzburg.de/themen/gesundheit-soziales/coronavirus/index.html,96,,,,4.0,18/03/2020 21:50,"https://www.landkreis-wuerzburg.de/Auf-einen-Klick/Aktuelles/Coronavirus/Vierzehn-neue-Corona-F%C3%A4lle-in-Stadt-und-Landkreis-W%C3%BCrzburg.php?object=tx,2680.5&ModID=7&FID=2680.21400.1&NavID=2680.396&La=1",@DarkSharkz,,,,,,,,
Würzburg,Landkreis,47,"https://www.landkreis-wuerzburg.de/Auf-einen-Klick/Aktuelles/Coronavirus/Sieben-neue-Corona-F%C3%A4lle-in-Stadt-und-Landkreis-W%C3%BCrzburg-Landrat-sagt-Wahlstudio-im-Landratsamt-ab.php?object=tx,2680.5&ModID=7&FID=2680.21372.1&NavID=2680.396&La=1",96,,,,4.0,18/03/2020 21:50,"https://www.landkreis-wuerzburg.de/Auf-einen-Klick/Aktuelles/Coronavirus/Vierzehn-neue-Corona-F%C3%A4lle-in-Stadt-und-Landkreis-W%C3%BCrzburg.php?object=tx,2680.5&ModID=7&FID=2680.21400.1&NavID=2680.396&La=1",@DarkSharkz,,,,,,,,
Zollernalbkreis,Landkreis,51,https://www.zollernalbkreis.de/aktuelles/nachrichten/antworten+auf+haeufig+gestellte+fragen+zum+neuartigen+coronavirus,60,,,,,18/03/2020 19:45,,,,,,,,,,
Zweibrücken,Kreisfreie Stadt,0,http://www.lkswp.de/corona-info,0,,,,,,,,,,,,,,,
Zwickau,Landkreis,23,https://www.landkreis-zwickau.de/index.html,37,,271.0,,,18/03/2020 16:30,https://www.landkreis-zwickau.de/anzahl-der-faelle-weiter-im-ansteigen,@JamesEDaniell,,,,,,,,
